Model,Accuracy,Recall,F1-Score,ROC_AUC
Random Forest,0.5872077922077923,0.5992395437262357,0.19851558348401172,0.6287774794802333
Logistic Regression,0.5191558441558441,0.6730038022813688,0.19291553133514985,0.6001105455605631
Decision Tree,0.5246753246753247,0.6632265073329712,0.1930253935581294,0.6086643770835755
