Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC
Random Forest,0.5909090909090909,0.11975591151792525,0.596958174904943,0.19949174078780177,0.6290447324837928
Logistic Regression,0.5191558441558441,0.11259541984732824,0.6730038022813688,0.19291553133514985,0.6001105455605631
Decision Tree,0.43116883116883115,0.09951586874663798,0.7034220532319392,0.17436380772855797,0.5879451348480369
